name,age,occupation,location,country,lat,lng,dod,source
Fernando Antonio Jiménez,NA,Doctor,Lara,Venezuela,10.1537842,-69.8597406,NA,medscape
Franklin Jiménez,NA,Doctor,Ciudad Ojeda,Venezuela,10.2214803,-71.3111773,NA,medscape
Veronica Jimenez,28,Other Medical,New York,United States,40.789142,-73.13496099999999,NA,medscape
César Jiménez Brea,43,Doctor,Santiago De Los Caballeros,Dominican Republic,19.4791963,-70.6930568,NA,medscape
José Roberto Jiménez Celio,NA,Doctor,Puebla,Mexico,19.0414398,-98.2062727,NA,medscape
Rodrigo Jiménez García,NA,Doctor,Michoacán,Mexico,19.5665192,-101.7068294,NA,medscape
Rodolfo Jiménez Sosa,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
José Alfredo Jiménez Turrubiates,NA,Doctor,Tamaulipas,Mexico,24.26694,-98.8362755,NA,medscape
Hossein Johar,NA,Doctor,Qom,Iran,34.6415764,50.8746035,NA,medscape
Aleyamma John,65,Nurse,New York,United States,40.7174553,-73.8043343,NA,medscape
Darell Johnson,43,Other,Morristown,United States,40.79676670000001,-74.4815438,NA,medscape
Madeline Johnson,71,Nurse,Burlington,United States,40.071222,-74.86488729999999,NA,medscape
Herrou Jorge,75,Doctor,Cordoba,Argentina,-31.4354727,-64.2009018,NA,medscape
Djoko Judodjoko,70,Doctor,Jakarta,Indonesia,-6.2087634,106.84559900000001,NA,medscape
Kurt Julian,63,Nurse,Kirkland,United States,47.6768927,-122.2059833,NA,medscape
Josué Jurado Saldaña,NA,Other Medical,Puebla,Mexico,19.0414398,-98.2062727,NA,medscape
Fernando Juarez,NA,Other Medical,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Gustavo Juárez Hernández,50,Nurse,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
José Luis Juárez Juárez,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Josefina Justiniani,NA,Nurse,Panama,Panama,8.537981,-80.782127,NA,medscape
Bernd Harald Kablitz,59,Doctor,Balearic Islands,Spain,39.6952629,3.0175712,NA,medscape
Yasin Kadhim,55,Doctor,Diyala Governorate,Iraq,33.7733487,45.1494505,NA,medscape
Debbie Ann Kain,67,Doctor,Jackson,United States,32.2987573,-90.1848103,NA,medscape
Sinan Kaki,60,Other Medical,İstanbul,Turkey,41.0082376,28.9783589,NA,medscape
Yavuz Kalaycı,50,Doctor,İstanbul,Turkey,41.0082376,28.9783589,NA,medscape
Stephan Kamholz,72,Doctor,New York,United States,40.6781784,-73.9441579,NA,medscape
Seyfettin Karakaya,NA,Other,İstanbul,Turkey,41.0082376,28.9783589,NA,medscape
Ehsanul Karim,42,Doctor,Chattogram,Bangladesh,22.356851,91.7831819,NA,medscape
Shahrouz Karimian,45,Nurse,Tehran,Iran,35.6891975,51.3889736,NA,medscape
Irshad Karrim,NA,Doctor,Durban,South Africa,-29.85868039999999,31.0218404,NA,medscape
Vahid Mosef Kasmaei,NA,Doctor,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Rabbi Mordechai Katz,NA,Other Medical,New York,United States,40.746844,-73.9722693,NA,medscape
Jay Alan Kavet,72,Doctor,New York,United States,40.7127753,-74.0059728,NA,medscape
Zabihullah Kaviani,NA,Other Medical,Boroujen,Iran,31.9797908,51.29460659999999,NA,medscape
Kious Kelly,48,Nurse,New York,United States,40.7695024,-73.9864118,NA,medscape
Donald Kennedy,88,Retired,Redwood City,United States,37.48521520000001,-122.2363548,NA,medscape
Jim Kenny,NA,Other,Kilkenny,Ireland,52.6541454,-7.2447879,NA,medscape
Anncha Kepkey,52,Nurse,Cape Town,South Africa,-33.9248685,18.4240553,NA,medscape
Richard Kesner,46,Nurse,Edison,United States,40.5187154,-74.4120953,NA,medscape
Mohsen Khadem,NA,Nurse,Kashan,Iran,33.9850358,51.4099625,NA,medscape
Mohamed Fathi Khalil,33,Other Medical,Minya Al Qamh,Egypt,30.5130542,31.3459772,NA,medscape
Jalilur Rahman Khan,60,Doctor,Dhaka,Bangladesh,23.810332,90.4125181,NA,medscape
Priya Khanna,43,Doctor,Glen Ridge,United States,40.805378,-74.20375659999999,NA,medscape
Satyender Dev Khanna,78,Doctor,Belleville,United States,40.7936744,-74.15004689999999,NA,medscape
Firuze Khoshgoftar,NA,Other,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Gholamreza Vosughi Kia,NA,Nurse,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Soheil Kianfar,43,Doctor,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Golam Kibria,59,Doctor,Dhaka,Bangladesh,23.810332,90.4125181,NA,medscape
Curwin King,59,Other,New York,United States,40.6781784,-73.9441579,NA,medscape
Kim King-Smith,53,Other,Newark,United States,40.735657,-74.1723667,NA,medscape
Svetlana Kiseleva,47,Nurse,Viciebsk,Belarus,55.1926809,30.206359,NA,medscape
Richard Kisser,NA,Doctor,Accra,Ghana,5.6037168,-0.1869644,NA,medscape
Anuj Kumar Kittikottuveedu,47,Nurse,Boston,United Kingdom,52.97893999999999,-0.026577,NA,medscape
Duško Kljakić,52,Doctor,Bar,Montenegro,42.0912106,19.089904,NA,medscape
Kerim Koca,33,Other Medical,Çankırı,Turkey,40.600207,33.616223,NA,medscape
Nasrin Kodim,72,Doctor,West Java,Indonesia,-7.090910999999999,107.668887,NA,medscape
Reza Koochekinia,52,Doctor,Astaneh-ye Ashrafiyeh,Iran,37.2598022,49.9436621,NA,medscape
Suzanne Koransky,62,Nurse,Wayne,United States,40.92537249999999,-74.2765441,NA,medscape
Grażyna Krawczyk,59,Nurse,Kozienice,Poland,51.5855328,21.5511768,NA,medscape
Darlene Krawetz,52,Nurse,Syracuse,United States,43.0481221,-76.14742439999999,NA,medscape
Demetrius Kremastinos,78,Doctor,Athens,Greece,37.9838096,23.7275388,NA,medscape
Maria Krier,NA,Nurse,Littleton,United States,42.5372893,-71.5128022,NA,medscape
Igor Kuninets,46,Doctor,Bila Tserkva,Ukraine,49.7967977,30.1310853,NA,medscape
Cuma Kurt,57,Doctor,Diyarbakır,Turkey,37.9249733,40.2109826,NA,medscape
Tugba Yuce Kusdemir,35,Nurse,Balıkesir,Turkey,39.65329759999999,27.8903423,NA,medscape
Halil Yucel Kutun,67,Doctor,Diyarbakır,Turkey,37.9249733,40.2109826,NA,medscape
S. L.,49,Nurse,Jesolo,Italy,45.5334198,12.6438498,NA,medscape
Antonio Francisco Lacera Ochoa,61,Other,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Freddy Lacroix,NA,Doctor,Carabobo,Venezuela,10.1176433,-68.0477509,NA,medscape
Leland F. Lamberty,76,Doctor,North Platte,United States,41.1402759,-100.7601454,NA,medscape
Erwin Lambrento,59,Nurse,New York,United States,40.6781784,-73.9441579,NA,medscape
Robert Lancaster,98,Doctor,New Orleans,United States,29.95106579999999,-90.0715323,NA,medscape
John Lara,40,Doctor,Belleville,United States,40.7936744,-74.15004689999999,NA,medscape
José Lara Delgado,56,Other,Aguascalientes,Mexico,21.8852562,-102.2915677,NA,medscape
Julio Larez,NA,Nurse,Caracas,Venezuela,10.4805937,-66.90360629999999,NA,medscape
Juan Larios Fontalvo,58,Doctor,Caqueta,Colombia,0.869892,-73.8419063,NA,medscape
Mark Laser,63,Doctor,Trumbull,United States,41.2428563,-73.2006639,NA,medscape
Hitesh Lathia,36,Other Medical,Surat,India,21.1702401,72.83106070000001,NA,medscape
Agustín Lazarini Colorado,69,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Luis Guillermo Lázaro León,52,Other,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Miodrag Lazić,65,Doctor,Niš,Serbia,43.3209022,21.8957589,NA,medscape
Juan Leal,NA,Doctor,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
Jorge Leal,NA,Other,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
"Virgilio ""El Misil"" Lebrón",NA,Other,Santo Domingo,Dominican Republic,18.4860575,-69.93121169999999,NA,medscape
María Esther Ledesma,50,Nurse,Buenos Aires,Argentina,-34.6037618,-58.38171499999999,NA,medscape
Kevin Leiva,24,Other Medical,Dover,United States,40.883988,-74.5621025,NA,medscape
Santo Anthony León Ordeñana,35,Other,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
César Augusto de León López,NA,Retired,NA,Guatemala,15.783471,-90.23075899999999,NA,medscape
Hugo Leonel de León Solís,53,Other Medical,San Marcos,Guatemala,14.9609782,-91.80745859999999,NA,medscape
Philippe Lerche,64,Doctor,Villers-Outréaux,France,50.032169,3.298371,NA,medscape
Franklin Leuno,NA,Doctor,Valencia,Venezuela,10.1579312,-67.9972104,NA,medscape
Elizabeth Levan,45,Other Medical,Pennsylvania,United States,40.09944249999999,-74.9325683,NA,medscape
"Suzanne ""Suzy"" Levi",65,Nurse,Ramat Gan,Israel,32.068424,34.824785,NA,medscape
Mortimer Levin,99,Doctor,Detroit,United States,42.331427,-83.0457538,NA,medscape
Angela Lewis,NA,Other,New York,United States,40.5795317,-74.1502007,NA,medscape
Jaime Leyte Martínez,NA,Doctor,Chiapas,Mexico,16.7569318,-93.12923529999999,NA,medscape
José Ernesto Leyva Bacasegua,NA,Doctor,Sinaloa de Leyva,Mexico,25.8226854,-108.2216704,NA,medscape
Li Wenliang,33,Doctor,Wuhan,China,30.592849,114.305539,NA,medscape
José Luis Liahut Bramardi,NA,Doctor,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Rose Liberto,64,Nurse,Charlotte,United States,35.2270869,-80.8431267,NA,medscape
Grover Licona Dìaz,45,Nurse,Buenos Aires,Argentina,-34.6036844,-58.3815591,NA,medscape
Roger Liddell,64,Other,Flint,United States,43.0125274,-83.6874562,NA,medscape
César Lijerón,68,Other,Beni Department,Bolivia,-14.3782747,-65.0957792,NA,medscape
Mary Grace Lim,40,Doctor,Muntinlupa,Philippines,14.4183645,121.0384987,NA,medscape
Azaí Linares,NA,Doctor,Puerto Cabello,Venezuela,10.4697685,-68.02986539999999,NA,medscape
José Luis Linares,64,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Vasiliy Lipilin,50,Other Medical,Barysaw,Belarus,54.2243254,28.5119119,NA,medscape
Ecaterina Litvinschi,79,Doctor,Chișinău,Moldova,47.0104529,28.8638102,NA,medscape
Liu Fan,59,Nurse,Wuhan Shi,China,30.605074,114.345484,NA,medscape
Liu Zhiming,51,Other,NA,China,35.86166,104.195397,NA,medscape
Biljana Natic ​​Ljumovic,59,Doctor,Niš,Serbia,43.3209022,21.8957589,NA,medscape
Carlos Joaquin Romero Llontop,NA,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Juan Carlos Loaiza,NA,Doctor,Quintana Roo,Mexico,19.1817393,-88.4791376,NA,medscape
Juan Lobel,47,Doctor,Buenos Aires,Argentina,-34.6036844,-58.3815591,NA,medscape
Cindy Locklear,62,Nurse,Marlborough,United States,42.3459271,-71.5522874,NA,medscape
Frank Lockwood,52,Doctor,Atlanta,United States,33.7489954,-84.3879824,NA,medscape
Theresa Lococo,68,Doctor,New York,United States,40.6781784,-73.9441579,NA,medscape
Mabel Zùñiga de Logacho,48,Doctor,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Exsenveny Lolapua,57,Doctor,West Java,Indonesia,-7.090910999999999,107.668887,NA,medscape
Catalina Londoño de la Hoz,29,Other,Atlantico,Colombia,10.6966159,-74.8741045,NA,medscape
Bonita Long,63,Nurse,Boaz,United States,34.2031662,-86.15209689999999,NA,medscape
Euclides López,NA,Doctor,Bolívar,Venezuela,6.3585216,-63.580611,NA,medscape
Lydia Lopez,63,Other,Saginaw,United States,43.4194699,-83.9508068,NA,medscape
Héctor López,NA,Doctor,Caracas,Venezuela,10.4805937,-66.90360629999999,NA,medscape
María López,NA,Nurse,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Maria Lopez,63,Nurse,Chicago,United States,41.8781136,-87.6297982,NA,medscape
"Octavio ""Tavo Hulk"" López",NA,Nurse,Chihuahua,Mexico,28.6329957,-106.0691004,NA,medscape
Patricia López,NA,Other,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Rocío López,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
"Luis Alejandro ""Alex"" López Cano",31,Other,Puebla,Mexico,19.0414398,-98.2062727,NA,medscape
José Francisco López Cárdenas,NA,Doctor,Sinaloa de Leyva,Mexico,25.8226854,-108.2216704,NA,medscape
Alberto López Castro,NA,Doctor,Chihuahua,Mexico,28.6329957,-106.0691004,NA,medscape
Luis Alberto López Cruz,53,Doctor,Juventino Rosas,Mexico,20.6440308,-100.9932881,NA,medscape
Celia Abigail López Delgado,NA,Nurse,Guanajuato,Mexico,21.0190145,-101.2573586,NA,medscape
Enrique López Guzmán,67,Doctor,Cordoba,Colombia,8.049293,-75.57405,NA,medscape
Eucario López Jiménez,52,Other,Puebla,Mexico,19.0414398,-98.2062727,NA,medscape
Gisela López Medrano,NA,Other Medical,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Francisco López Mena,NA,Doctor,Tabasco,Mexico,17.8409173,-92.6189273,NA,medscape
José Manuel López Palma,NA,Doctor,Puebla,Mexico,19.0414398,-98.2062727,NA,medscape
Iván Tomás López de Santiago,NA,Doctor,State of Mexico,Mexico,19.4968732,-99.72326729999999,NA,medscape
Hamid Lotfi,NA,Doctor,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Alejandra López,NA,Retired,Ciudad de México,Mexico,19.4191289,-99.17154959999999,NA,medscape
Carmen Olivia Janeta Lopez,NA,Doctor,Babahoyo,Ecuador,-1.801926,-79.5346459,NA,medscape
Juan José López Lerena,61,Other Medical,Montevideo,Uruguay,-34.9011127,-56.16453139999999,NA,medscape
Carlos López Miranda,NA,Doctor,NA,Mexico,23.634501,-102.552784,NA,medscape
Alba Elena López Socop,44,Nurse,Guatemala City,Guatemala,14.6349149,-90.5068824,NA,medscape
Cristina Lorenzo,62,Nurse,Buenos Aires,Argentina,-34.6037618,-58.38171499999999,NA,medscape
Kattia Loría,49,Other,Guapiles,Costa Rica,10.2136788,-83.7890894,NA,medscape
Marina Thenor Louis,45,Other Medical,Montreal,Canada,45.5016889,-73.567256,NA,medscape
Eric Loupiac,60,Doctor,Lons-le-Saunier,France,46.671361,5.550796,NA,medscape
Ludwig Eduardo Lucas Muñoz,58,Doctor,Guatemala City,Guatemala,14.6349149,-90.5068824,NA,medscape
Carlos Alberto Lucero,73,Doctor,Jujuy,Argentina,-24.1857864,-65.2994767,NA,medscape
Oswaldo Luces,NA,Doctor,Anzoategui,Venezuela,8.5913073,-63.95861110000001,NA,medscape
"Doreen Adisa Lugaliki, ",38,Doctor,Nairobi,Kenya,-1.2920659,36.8219462,NA,medscape
Daniel Lugli,62,Nurse,Rosario,Argentina,-32.9587022,-60.69304159999999,NA,medscape
Edith Lugo,NA,Doctor,Maracay,Venezuela,10.2441931,-67.60661640000001,NA,medscape
Victor Lugo,NA,Other Medical,Valencia,Venezuela,10.1579312,-67.9972104,NA,medscape
Elsa Luis Toro,NA,Retired,Aragua,Venezuela,10.0635758,-67.2847875,NA,medscape
Francisco Avelino Siy Lukban,62,Doctor,Metro Manila,Philippines,14.6090537,121.0222565,NA,medscape
Felicisimo Luna,62,Nurse,Elizabeth,United States,40.6639916,-74.2107006,NA,medscape
Miguel Luna,NA,Other,Buenos Aires,Argentina,-34.6037618,-58.38171499999999,NA,medscape
Rosa Luna,67,Other Medical,Riverside,United States,33.9806005,-117.3754942,NA,medscape
Jorge Luna Con,67,Doctor,Sinaloa de Leyva,Mexico,25.8226854,-108.2216704,NA,medscape
Bertha Angelica Luna Guzmán,NA,Other Medical,State of Mexico,Mexico,19.4968732,-99.72326729999999,NA,medscape
Felipe de la Cruz Luna Toro,67,Doctor,Antioquia,Colombia,7.1986064,-75.34121789999999,NA,medscape
Francisco Lunar Vargas,NA,Doctor,Michoacán,Mexico,19.5665192,-101.7068294,NA,medscape
Maureen Lunney,59,Nurse,New York,United States,40.5795317,-74.1502007,NA,medscape
"Romeo Gregorio ""Greg"" Macasaet III",62,Doctor,Manila,Philippines,14.5995124,120.9842195,NA,medscape
Enrique Macedo,NA,Doctor,Baja California,Mexico,30.8406338,-115.2837585,NA,medscape
Enrique Macedo Orta,NA,Doctor,Nayarit,Mexico,21.7513844,-104.8454619,NA,medscape
Angel Mateos Maestre,61,Other Medical,Catalonia,Spain,41.5849177,1.612949,NA,medscape
Cipriano Magaña Arias,NA,Other,Villahermosa,Mexico,17.989456,-92.9475061,NA,medscape
Jasper Magat,46,Other,Quezon City,Philippines,14.6421672,121.0478702,NA,medscape
Guadalupe Magdaleno Águila,53,Other Medical,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Hamidreza Mahini,NA,Doctor,Pakdasht,Iran,35.46689130000001,51.6860625,NA,medscape
James Mahoney,NA,Doctor,New York,United States,40.6781784,-73.9441579,NA,medscape
Iqbal Omari Mahmoudzai,35,Doctor,Kabul,Afghanistan,34.5553494,69.207486,NA,medscape
Giuseppe Maini,74,Doctor,Piacenza,Italy,45.0526206,9.6929845,NA,medscape
Steven Malagraph,59,Doctor,Nyack,United States,41.0906519,-73.9179146,NA,medscape
Dione Malana,61,Nurse,Chicago,United States,41.8781136,-87.6297982,NA,medscape
Adan Maldonado,39,Other Medical,El Centro,United States,32.792,-115.5630514,NA,medscape
Ernesto Maldonado,NA,Nurse,Buenos Aires,Argentina,-34.6036844,-58.3815591,NA,medscape
Ana Lizeth Maldonado Franco,21,Doctor,Zacatepec de Hidalgo,Mexico,18.6590633,-99.1954432,NA,medscape
Luis Maldonado Rafaele,NA,Doctor,Callao Region,Peru,-12.0463731,-77.042754,NA,medscape
Yuri Maldonado Rojas,40,Nurse,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Estrella Quillopa Malimban,65,Nurse,Colton,United States,34.0739016,-117.3136547,NA,medscape
Rizal Manalo,51,Nurse,Bodelwyddan,United Kingdom,53.268061,-3.498458,NA,medscape
Gholamali Manavian,NA,Doctor,Sari,Iran,36.5658729,53.0586328,NA,medscape
Sal Mancuso,66,Other,Blooming Grove,United States,41.4227446,-74.20478750000001,NA,medscape
Gerson Mancipe,68,Doctor,Táchira,Venezuela,7.9137001,-72.1416132,NA,medscape
Sisir Mandal,69,Doctor,Kolkata,India,22.572646,88.36389500000001,NA,medscape
Christine Mandegarian,54,Other,Toronto,Canada,43.7764258,-79.2317521,NA,medscape
"Hilario John ""Larry"" Mangoba",NA,Doctor,Quezon City,Philippines,14.6760413,121.0437003,NA,medscape
William Mantell,NA,Other Medical,New York,United States,40.7282239,-73.7948516,NA,medscape
Edgar Manzanero Quiroz,72,Doctor,Zulia,Venezuela,10.2910237,-72.1416132,NA,medscape
Emilio Isaías Manzo Espinoza,NA,Other Medical,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Hafiz Maqsood,NA,Doctor,Lahore,Pakistan,31.5203696,74.35874729999999,NA,medscape
Carlos Yamil Maradiaga Muñoz,NA,Other Medical,Choluteca,Honduras,13.3198572,-87.1622344,NA,medscape
Michael Robert Marampe,28,Doctor,Bekasi,Indonesia,-6.2382699,106.9755726,NA,medscape
Attilio Marcantonio,63,Other Medical,Mariano Comense,Italy,45.6981773,9.1824505,NA,medscape
"Michael ""Mike"" Marceaux",NA,Nurse,Shreveport,United States,32.5251516,-93.7501789,NA,medscape
Javier Marco,57,Doctor,Valencia,Spain,39.4699075,-0.3762881,NA,medscape
Daniel Carlos Marconetto,62,Other Medical,Rafael Calzada,Argentina,-34.7898171,-58.35377239999999,NA,medscape
Celia Lardizabal Marcos,61,Nurse,Los Angeles,United States,34.0522342,-118.2436849,NA,medscape
Jody Mares,48,Other Medical,Albuquerque,United States,35.0843859,-106.650422,NA,medscape
Elio José Margiotta Figueroa,60,Doctor,Nueva Esparta,Venezuela,10.9970723,-63.91132959999999,NA,medscape
Cinthia Marín Guerrero,32,Other Medical,Baja California Sur,Mexico,26.0444446,-111.6660725,NA,medscape
Francisco Marín,61,Doctor,Chaco Province,Argentina,-27.4257175,-59.02437839999999,NA,medscape
Pedro Marin Esquirol,47,Doctor,Úbeda,Spain,38.0114236,-3.3712457,NA,medscape
Ivelin Markov,70,Doctor,Dobrich,Bulgaria,43.57259,27.8272606,NA,medscape
Dragan Marković,63,Other,Belgrade,Serbia,44.786568,20.4489216,NA,medscape
Reuven Maroth,NA,Other Medical,Hackensack,United States,40.8859325,-74.0434736,NA,medscape
Enrique Marottoli,62,Doctor,Corrientes,Argentina,-27.4692131,-58.8306349,NA,medscape
"Gregorio ""Goyo"" Márquez Bautista",NA,Doctor,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Yolimar Márquez de Salgado,48,Doctor,Sucre,Venezuela,10.4055886,-63.297505,NA,medscape
Dayna Marrero Domen,NA,Nurse,Manatí,Puerto Rico,18.433005,-66.4758583,NA,medscape
Stephen Marrone,62,Other,New York,United States,40.6781784,-73.9441579,NA,medscape
César Augusto Marroquín Solórzano,53,Doctor,Guatemala City,Guatemala,14.6277074,-90.4956862,NA,medscape
David Martin,NA,Other Medical,Natchez,United States,31.5604442,-91.40317100000001,NA,medscape
Ana Margarita Martínez,NA,Other Medical,Sonsonate,El Salvador,13.7099653,-89.7286147,NA,medscape
Beatriz Martínez,NA,Nurse,Caracas,Venezuela,10.4805937,-66.90360629999999,NA,medscape
Eduardo Martínez,65,Doctor,Santiago De Los Caballeros,Dominican Republic,19.4791963,-70.6930568,NA,medscape
Jorge Arturo Martínez,NA,Doctor,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Juan Martinez,60,Other,Chicago,United States,41.8781136,-87.6297982,NA,medscape
Juan David Martinez Castro,54,Doctor,Piedras Negras,Mexico,28.6916182,-100.5408622,NA,medscape
Luis Alberto Martínez,NA,Doctor,Apure,Venezuela,6.926948299999999,-68.52471489999999,NA,medscape
Miguel Ángel Martínez,NA,Nurse,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Roberto Daniel Martínez Gutiérrez,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Ricardo Adán Martínez Guzmán,NA,Doctor,San Salvador,El Salvador,13.6929403,-89.2181911,NA,medscape
Jerónimo Martínez López,75,Doctor,Madrid,Spain,40.4167754,-3.7037902,NA,medscape
Alexánder Martínez Meléndez,NA,Doctor,Soyapango,El Salvador,13.710045,-89.13725269999999,NA,medscape
María Esthela de los Dolores Martínez Molina,92,Nurse,Cuenca,Ecuador,-2.9001285,-79.00589649999999,NA,medscape
JD Martínez Pérez,NA,Nurse,Sonora,Mexico,29.2972247,-110.3308814,NA,medscape
Karen Martinsen-Sbordone,60,Nurse,New York,United States,40.6781784,-73.9441579,NA,medscape
Augusto Alberto Martoni,NA,Doctor,Santa Cruz de la Sierra,Bolivia,-17.8145819,-63.1560853,NA,medscape
Barclay Mason,56,Nurse,England,United Kingdom,51.57424469999999,0.4856781,NA,medscape
Magdy Eryan Massak,64,Other Medical,New York,United States,40.7127753,-74.0059728,NA,medscape
Delia Mata,NA,Retired,Anzoategui,Venezuela,8.5913073,-63.95861110000001,NA,medscape
Jaime Mata Guijarro,72,Doctor,Madrid,Spain,40.4167754,-3.7037902,NA,medscape
Jorge Mateo,NA,Other Medical,Miami,United States,25.7616798,-80.1917902,NA,medscape
Ronaldo Mateo,48,Doctor,Calabarzon,Philippines,14.2456329,120.8785658,NA,medscape
Luis Fernando Mateos,64,Doctor,Salamanca,Spain,40.9701039,-5.663539699999999,NA,medscape
Ángel Mateos,NA,Other Medical,Barcelona,Spain,41.3850639,2.1734035,NA,medscape
Annie Mathew,54,Nurse,Hawally,Kuwait,29.33778819999999,48.0234708,NA,medscape
Thyce Mattis,59,Nurse,New York,United States,40.8447819,-73.8648268,NA,medscape
Emilia Matos,75,Doctor,Yuma,United States,32.6926512,-114.6276916,NA,medscape
Christopher David Matus,46,Other Medical,Swartz Creek,United States,42.9572508,-83.8305144,NA,medscape
Jorge Enrique Matus Castro,NA,Doctor,Heroica Veracruz,Mexico,19.173773,-96.1342241,NA,medscape
Javier Johnny Maura Monge,57,Other,Guayaquil,Ecuador,-2.1894128,-79.8890662,NA,medscape
Carmen María Mavo Zavala,64,Doctor,Portuguesa,Venezuela,9.094399899999999,-69.097023,NA,medscape
Murtaza Mawji,69,Doctor,Mons,Belgium,50.4542408,3.956659,NA,medscape
Luís Alonso Maytorena Osorio,NA,Doctor,Sonora,Mexico,29.2972247,-110.3308814,NA,medscape
Jose Maza,54,Nurse,San Diego,United States,32.715738,-117.1610838,NA,medscape
Kabita Dutta Mazumdar,56,Nurse,Kolkata,India,22.572646,88.36389500000001,NA,medscape
John Mutah Mbah,55,Other Medical,Cheverly,United States,38.92816699999999,-76.915807,NA,medscape
James T. McCreary,73,Doctor,Chicago,United States,41.8781136,-87.6297982,NA,medscape
Héctor Alejandro Mecalco Sánchez,NA,Doctor,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Alejandro Medina,NA,Other,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Francisco Medina,NA,Doctor,Lara,Venezuela,10.1537842,-69.8597406,NA,medscape
Irma Gabriela Medina Navarro,36,Doctor,Colima,Mexico,19.2452342,-103.7240868,NA,medscape
César Eduardo Medina Jara,NA,Doctor,Zacatecas,Mexico,22.7708555,-102.5832426,NA,medscape
Francis J. Mee,65,Nurse,Tewksbury,United States,42.6106478,-71.23422479999999,NA,medscape
Sydney Mehl,72,Doctor,New York,United States,40.746844,-73.9722693,NA,medscape
Mohammad Ghader Norouz Mehr,NA,Other,Rasht,Iran,37.2682177,49.5891233,NA,medscape
Margaret Meier,95,Nurse,Hoboken,United States,40.7439905,-74.0323626,NA,medscape
Yousry Mejalli,NA,Doctor,NA,Yemen,15.552727,48.516388,NA,medscape
José Adalberto Mejía,NA,Doctor,Santa Bárbara Department,Honduras,15.1202795,-88.4016041,NA,medscape
Ricardo Mejia,29,Doctor,NA,Honduras,15.199999,-86.241905,NA,medscape
Reinaldo Mejía Canelón,NA,Doctor,NA,Peru,-9.189967,-75.015152,NA,medscape
Glenda Yamile Mejía Petit,56,Doctor,San Pedro Sula,Honduras,15.5038827,-88.01386190000001,NA,medscape
Juan Salvador Melgarejo Carreón,NA,Doctor,Tabasco,Mexico,17.8409173,-92.6189273,NA,medscape
Rabbi Yaakov Meltzer,60,Doctor,New York,United States,40.6781784,-73.9441579,NA,medscape
Fidel Mena,NA,Doctor,Guanajuato,Mexico,21.0190145,-101.2573586,NA,medscape
Juan Carlos Mena Padilla,NA,Doctor,San Salvador,El Salvador,13.6863332,-89.1887954,NA,medscape
Juan Mena Ramos,NA,Doctor,Quintana Roo,Mexico,19.1817393,-88.4791376,NA,medscape
Laurence Ménard,33,Other,Drummondville,Canada,45.8802909,-72.4842824,NA,medscape
Luis Alberto Mendez,NA,Doctor,Monclova,Mexico,26.9080378,-101.4215236,NA,medscape
Sergio Ernesto Méndez Borjas,37,Doctor,State of Mexico,Mexico,19.4968732,-99.72326729999999,NA,medscape
José Guadalupe Méndez Cundafe,NA,Doctor,Tabasco,Mexico,17.8409173,-92.6189273,NA,medscape
Pablo Mené,42,Other,Buenos Aires,Argentina,-34.6037618,-58.38171499999999,NA,medscape
Eduardo Méndez Martinez,65,Retired,Mexico City,Mexico,19.4326077,-99.133208,NA,medscape
Jorge Luis Méndez Moreno,NA,Other Medical,Puebla,Mexico,19.0414398,-98.2062727,NA,medscape
